Votes Total,Residents Total,Residents 0-14,Residents 15-64,Residents 65+,Population without Education,Population with High School,Companies Created,Average Monthly Income,Employees per Sector Total,Employees per Sector Agriculture,Employees per Sector Extraction Industries,Employees per Sector Transformation Industries,Employees per Sector Construction,Employees per Sector Gross and Retails Markets,Employees per Sector Administration and Services,Employees per Economic Sector Banks,Employees per Economic Sector Others,Companies Dissolved,Unemployment Total,Unemployment <25,ranking
13872,22284,2469,12831,6984,5060,2038,40,666.4,4793,656,0,1181,766,920,155,52,0,17,1179.8,201.2,d>e>b>c>a
10573,16465,1965,10659,3842,1641,2284,39,737.5,3921,267,0,378,610,925,351,46,0,16,963.0,98.3,e>d>c>b>a
4855,8874,813,4840,3221,1892,887,8,666.0,1709,493,0,210,208,313,52,25,0,2,250.6,49.1,e>d>c>b>a
11909,18931,1963,11621,5347,3163,2292,39,655.2,4993,1042,66,735,801,985,220,41,0,19,727.2,124.2,e>d>b>c>a
6090,9039,1093,5488,2458,1690,923,11,639.4,1595,177,0,288,238,295,172,19,0,9,613.9,102.9,e>d>c>b>a
8309,11829,1499,7530,2800,1989,1282,28,677.8,2251,301,10,218,597,378,103,30,0,12,798.5,151.0,e>d>c>b>a
26276,43151,6351,28194,8607,5406,4399,115,644.2,11294,1049,0,2762,2397,2177,470,76,12,32,2443.8,343.2,c>d>b>e>a
8042,13869,1765,8996,3108,1454,1698,66,708.8,4626,186,32,1297,374,1446,201,63,0,28,878.8,144.1,d>e>c>b>a
42848,87570,11794,58413,17363,7975,11702,243,784.6,25129,800,73,6694,4048,4768,1599,242,41,122,5607.8,753.2,e>d>c>b>a
5980,9138,1205,5899,2035,1161,1130,22,776.9,3570,104,0,1830,251,334,159,24,0,23,431.6,70.3,e>d>c>b>a
11377,18635,2868,12700,3068,1847,2316,36,654.9,3993,224,0,650,795,846,236,0,15,12,1532.1,207.0,e>c>d>b>a
71209,119824,18376,84200,17249,9333,12261,397,686.8,42569,1823,32,20791,5052,7317,1506,222,20,164,6514.9,1070.5,e>b>c>a>d
90617,181979,28878,128376,24725,10441,26282,768,826.4,60419,0,143,12660,8705,12474,3463,609,43,297,14454.8,1642.5,e>c>d>b>a
17663,34268,5538,23719,5011,2736,3881,106,695.4,10634,561,45,3194,2149,1782,492,73,0,43,1820.4,275.2,d>e>b>c>a
5204,6929,836,4385,1708,1019,769,5,747.3,1242,0,0,91,164,233,38,0,0,3,499.8,81.3,e>c>d>b>a
27776,47838,7657,31874,8307,5661,5100,138,675.7,10903,565,0,2469,2860,2334,371,89,25,45,2964.0,427.8,d>e>b>c>a
10968,16442,2531,10870,3042,2282,1620,49,627.5,3154,321,0,571,665,712,105,36,0,13,1488.3,282.8,e>c>d>b>a
30070,50097,7283,34549,8265,4981,4792,180,621.6,14043,114,0,5968,1822,2531,675,88,0,56,4039.2,648.4,e>d>c>b>a
83282,156762,23066,111407,22290,12043,17593,582,705.6,59270,569,179,31605,3293,10502,2052,368,0,194,13287.5,1507.8,e>b>d>a>c
4961,7357,995,4808,1555,1246,648,16,620.6,1398,0,104,180,168,339,51,14,0,8,548.8,106.8,e>c>d>b>a
14789,21867,3295,14793,3779,2692,2092,56,638.8,5552,209,42,1831,757,914,562,46,0,18,1467.9,201.6,d>e>b>c>a
9771,12651,1653,8189,2810,1804,1334,21,705.4,2013,176,0,178,373,468,146,20,0,8,973.7,135.6,e>b>d>a>c
73039,133843,20263,94290,19290,9573,15972,458,774.5,48402,732,26,23249,4029,8815,2242,280,40,151,10391.7,1254.2,e>b>d>a>c
12175,23856,3676,17339,2841,1947,2355,80,623.2,7860,0,0,5045,341,1034,220,53,0,28,1808.0,204.3,e>b>d>a>c
13295,21877,3225,14667,3985,2537,1943,41,655.4,6315,697,22,2051,1212,975,260,40,0,23,1034.5,185.8,e>d>b>c>a
17873,30674,3808,20252,6615,2719,3867,86,762.0,7786,39,0,1433,379,1788,550,105,0,42,3408.1,459.9,d>e>c>a>b
61370,167771,24504,116588,26679,11149,23336,372,749.9,30483,352,0,6585,2324,8520,2662,238,0,169,16703.3,2136.7,e>b>d>a>c
51052,135971,22043,94274,19655,6634,20416,539,975.6,57304,412,15,13638,3611,12012,9633,341,0,214,11617.4,1244.4,e>b>d>a>c
67445,175006,24472,120336,30199,11185,24602,702,951.8,82426,740,0,8552,3783,36690,9435,436,5,571,13237.2,1330.3,e>d>c>a>b
32123,67971,8857,46770,12344,5420,7358,199,805.1,26548,385,51,15876,1401,3379,1620,142,19,57,3246.1,463.1,d>e>b>c>a
43739,86948,15050,61399,10500,6763,8205,217,678.7,21619,0,0,9523,2018,4483,778,184,18,68,8583.3,1193.7,d>e>c>b>a
110596,224894,27470,140428,56996,13814,32936,1574,1089.2,117903,1074,12,8802,13022,24315,11670,4602,11,1356,21335.0,2332.1,e>b>d>a>c
27560,63141,10136,43420,9585,4357,7441,214,734.6,18838,1591,27,3723,1745,4496,876,149,47,160,4429.3,634.3,d>e>b>c>a
64006,140052,20891,97466,21696,10799,15581,438,812.1,44944,294,0,20868,3823,8598,2643,312,14,182,9783.7,1337.1,d>e>c>a>b
37391,70737,9125,48838,12775,5920,7599,175,723.1,20529,211,29,10695,1233,3963,625,131,0,63,7025.3,892.7,e>b>d>c>a
9462,21655,3032,15032,3592,1285,3037,88,802.1,12580,19,0,7456,188,2017,560,107,0,36,1430.5,203.4,d>e>c>b>a
21100,38743,5657,27576,5510,2644,4714,132,814.4,15303,0,0,6507,1181,3234,904,99,0,32,4042.3,547.8,e>b>d>a>c
13080,22439,2710,14843,4887,2458,2505,43,872.1,8086,176,0,4761,474,1066,200,58,0,30,864.8,130.0,c>d>b>e>a
37420,95004,15169,66231,13604,5562,12981,255,761.1,20274,279,78,4557,2368,5072,2366,174,0,93,9294.1,1254.4,e>a>d>b>c
36466,79774,12482,54869,12424,5488,9091,257,831.8,24651,2377,23,7518,2684,5458,879,139,19,274,5740.8,777.8,e>a>d>c>b
127158,302989,45501,208673,48815,18851,41476,945,874.4,73976,875,23,19536,5532,15839,6026,568,28,574,33342.4,3998.3,e>b>d>a>c
4051,5540,539,3276,1725,1269,475,7,636.0,1000,266,63,159,130,177,35,0,0,4,331.4,37.8,d>e>c>b>a
23163,40788,4714,25924,10150,4900,5326,92,712.5,8598,750,61,993,931,2252,277,97,9,45,2656.5,347.8,d>e>c>b>a
7918,10049,883,5823,3344,2193,951,15,659.3,1846,685,0,151,176,328,55,30,0,13,439.6,68.0,e>c>d>b>a
5050,6383,810,3938,1636,1468,499,4,688.9,1126,0,0,83,330,131,36,11,0,5,489.1,80.0,e>d>b>c>a
11079,16252,1592,9420,5241,3478,1332,27,639.6,3905,1785,43,229,479,620,111,40,8,12,980.7,145.6,d>e>b>c>a
9222,12819,1387,7930,3503,2074,1195,22,669.4,2847,512,179,592,337,478,92,31,0,9,784.9,105.8,d>e>c>b>a
31543,55424,8269,38209,8947,6125,5745,157,723.9,14170,588,27,3114,4362,2507,585,81,0,57,4921.3,676.4,e>b>d>a>c
11473,20009,2769,13429,3812,3429,1634,31,615.9,3141,344,0,396,1133,564,124,19,0,15,2111.3,329.4,e>d>b>c>a
10932,16350,2503,11240,2608,1466,1454,25,625.0,3306,0,0,1228,576,577,94,19,0,9,1413.2,178.4,e>d>c>b>a
11720,19874,2840,13204,3830,2727,1947,26,667.1,3055,248,0,748,483,592,101,22,0,16,1781.9,283.9,d>e>b>c>a
11781,19800,2814,12842,4145,3155,1524,30,621.5,3091,330,0,212,1103,563,320,18,0,19,2144.2,293.3,e>c>d>b>a
32324,57789,9107,41287,7395,5231,5717,255,620.9,27367,0,0,18190,1684,3406,750,125,24,60,2923.6,422.3,e>a>c>d>b
27125,47375,8185,33852,5339,4033,3904,153,605.5,14985,264,0,7005,2687,2690,318,43,0,39,3757.9,520.3,e>c>d>b>a
26925,53120,8915,37117,7088,5107,4755,133,691.4,14363,231,597,3290,4926,2588,526,89,0,39,5222.1,859.3,d>e>c>b>a
29530,56965,9689,40774,6502,4417,4516,199,612.7,19539,101,70,11408,824,3548,548,106,7,51,5482.9,747.4,e>d>c>b>a
42352,71641,11815,50361,9466,6801,7240,165,704.4,20372,502,263,6399,4514,3767,564,94,47,67,6045.0,943.8,e>b>d>a>c
7407,10992,1579,7030,2384,2047,961,20,646.8,2310,941,0,140,311,503,47,17,0,0,1085.7,190.6,e>c>d>b>a
7841,11547,1301,6938,3308,1868,1082,16,737.9,3453,1818,0,400,175,418,89,18,11,9,777.8,98.7,d>e>b>c>a
4137,6113,707,3853,1554,875,611,19,654.9,2020,669,0,187,155,669,35,0,0,7,446.0,94.3,c>e>b>d>a
4085,6118,645,3466,2008,1195,533,13,643.8,1358,595,0,103,85,278,41,0,0,2,323.0,52.5,c>e>b>d>a
2677,3650,415,2078,1157,759,279,3,611.7,646,189,0,60,168,67,11,0,0,0,268.9,27.5,d>e>c>b>a
14875,26150,3380,17497,5274,3373,3060,46,704.4,5486,945,0,569,850,1263,432,47,19,17,3181.2,424.4,e>c>d>b>a
2975,4273,581,2822,870,687,444,11,638.0,1003,464,0,43,184,142,36,0,0,3,446.3,80.9,e>d>b>c>a
5902,10066,1362,6346,2358,1412,1084,14,651.0,2343,490,0,275,249,658,28,39,7,11,779.3,123.8,e>c>d>b>a
4189,5817,718,3509,1590,1058,520,9,634.9,1336,587,0,156,75,197,25,0,0,1,395.5,47.2,e>d>b>c>a
1979,2854,344,1756,754,489,283,6,632.1,789,399,0,36,89,119,12,0,0,2,145.4,20.3,d>e>b>c>a
9363,16695,2130,11294,3271,2184,1961,46,764.9,4177,1394,0,358,555,790,131,43,0,27,1428.1,219.3,d>e>c>b>a
4255,6214,773,3855,1587,1048,567,8,868.2,1601,778,16,201,148,178,29,0,0,7,426.2,53.6,e>d>c>b>a
4903,7099,824,4533,1742,1406,633,14,659.2,2254,1387,0,155,218,256,28,12,7,2,508.2,71.1,e>d>b>c>a
4484,7611,996,4932,1684,1236,671,10,711.2,2380,1403,0,226,124,280,81,13,20,2,396.4,59.3,d>e>b>c>a
4570,5614,676,3514,1425,854,618,9,615.9,1326,339,34,238,155,296,25,0,0,3,326.8,67.5,d>e>b>c>a
4082,6274,708,4085,1482,964,610,18,724.5,1256,504,0,125,150,192,46,0,32,2,570.1,89.3,e>c>d>b>a
4604,7927,1160,5202,1566,990,784,12,672.7,1554,210,0,108,267,467,219,14,0,3,648.0,101.1,d>e>a>c>b
