Votes Total,Residents Total,Residents 0-14,Residents 15-64,Residents 65+,Population without Education,Population with High School,Companies Created,Average Monthly Income,Employees per Sector Total,Employees per Sector Agriculture,Employees per Sector Extraction Industries,Employees per Sector Transformation Industries,Employees per Sector Construction,Employees per Sector Gross and Retails Markets,Employees per Sector Administration and Services,Employees per Economic Sector Banks,Employees per Economic Sector Others,Companies Dissolved,Unemployment Total,Unemployment <25,ranking
14683,23297,2717,13572,7008,5060,2038,39,623.2,4264,70,0,937,930,1005,175,59,0,14,900.5,147.9,d>e>b>c>a
10980,16839,2180,11037,3623,1641,2284,35,734.3,4510,220,0,0,807,1046,346,53,0,17,729.9,85.9,d>e>c>a>b
5689,9393,870,5221,3303,1892,887,7,618.7,1267,30,0,202,273,323,49,29,0,4,165.7,39.4,e>d>c>b>a
11851,19448,2160,11963,5326,3163,2292,32,611.2,4249,70,130,894,923,969,117,47,0,23,501.7,71.8,e>d>c>b>a
6299,9280,1146,5721,2414,1690,923,8,593.4,1449,81,0,258,267,324,69,20,0,10,398.6,52.6,e>d>c>b>a
9220,12264,1675,7739,2850,1989,1282,18,642.0,2302,43,12,226,699,474,169,50,0,6,581.7,88.2,e>d>c>b>a
27902,43888,7043,28595,8251,5406,4399,78,624.0,10647,349,190,2334,3119,2143,395,83,11,23,1969.3,223.6,c>d>b>e>a
8593,14176,1913,9202,3061,1454,1698,51,661.3,5458,104,44,1082,479,1585,824,68,0,28,657.8,90.3,d>e>b>c>a
49660,89263,13005,59982,16276,7975,11702,182,748.9,28016,648,68,7716,5913,5175,1084,271,33,159,4746.7,560.5,e>b>d>a>c
6090,9244,1291,5962,1992,1161,1130,17,739.4,3785,51,0,1790,375,402,167,25,0,14,321.5,45.8,e>d>c>b>a
11949,18942,3255,12799,2889,1847,2316,48,670.2,4647,152,32,701,1451,827,194,0,21,26,1118.6,133.8,e>d>b>c>a
76584,121325,20941,84936,15448,9333,12261,250,642.1,44807,1129,36,21294,7353,7700,1317,236,24,220,5556.8,712.9,e>d>a>c>b
95799,179717,30708,127360,21650,10441,26282,569,769.8,67876,257,161,14693,11792,14263,4113,684,29,316,10958.9,1100.3,e>b>d>a>c
20069,34327,6006,23711,4611,2736,3881,81,644.0,12502,429,74,3635,3501,1786,441,82,0,104,1438.9,171.2,d>e>b>c>a
5611,7494,1058,4649,1788,1019,769,7,666.4,1141,35,0,0,207,202,18,0,0,13,423.0,51.5,e>d>b>c>a
29363,48017,8417,31791,7810,5661,5100,113,622.0,11861,227,121,3102,3601,2190,389,102,22,45,2267.8,335.7,d>e>b>c>a
10955,17006,2943,10921,3143,2282,1620,43,617.9,3338,109,0,658,869,711,107,39,0,18,1332.1,210.1,e>c>d>b>a
